iter	Passed	Remaining
619	1558	955
620	1560	952
621	1562	949
622	1564	946
623	1566	944
624	1570	942
625	1573	939
626	1574	936
627	1576	933
628	1578	931
629	1581	928
630	1583	925
631	1585	923
632	1587	920
633	1589	917
634	1591	914
635	1594	912
636	1596	909
637	1599	907
638	1601	904
639	1603	901
640	1605	899
641	1606	896
642	1609	893
643	1611	890
644	1613	888
645	1615	885
646	1617	882
647	1619	879
648	1622	877
649	1624	874
650	1626	871
651	1628	869
652	1630	866
653	1632	863
654	1634	861
655	1636	858
656	1638	855
657	1640	852
658	1642	850
659	1645	847
660	1646	844
661	1648	841
662	1650	839
663	1652	836
664	1654	833
665	1656	830
666	1658	828
667	1660	825
668	1662	822
669	1664	820
670	1667	817
671	1669	814
672	1671	812
673	1673	809
674	1675	806
675	1677	803
676	1679	801
677	1681	798
678	1683	796
679	1686	793
680	1688	790
681	1690	788
682	1692	785
683	1694	782
684	1696	780
685	1698	777
686	1700	774
687	1702	772
688	1704	769
689	1706	766
690	1709	764
691	1711	761
692	1713	758
693	1715	756
694	1717	753
695	1719	750
696	1721	748
697	1723	745
698	1725	742
699	1727	740
700	1729	737
701	1731	735
702	1733	732
703	1735	729
704	1737	727
705	1738	724
706	1741	721
707	1743	719
708	1745	716
709	1747	713
710	1750	711
711	1752	708
712	1754	706
713	1756	703
714	1758	701
715	1760	698
716	1762	695
717	1765	693
718	1767	690
719	1769	688
720	1771	685
721	1773	682
722	1775	680
723	1777	677
724	1779	674
725	1781	672
726	1783	669
727	1785	667
728	1787	664
729	1789	661
730	1791	659
731	1793	656
732	1796	654
733	1798	651
734	1799	648
735	1801	646
736	1804	643
737	1806	641
738	1808	638
739	1810	636
740	1812	633
741	1814	631
742	1817	628
743	1819	626
744	1821	623
745	1823	620
746	1825	618
747	1827	615
748	1830	613
749	1832	610
750	1834	608
751	1836	605
752	1838	603
753	1840	600
754	1843	598
755	1845	595
756	1847	593
757	1849	590
758	1851	587
759	1853	585
760	1855	582
761	1858	580
762	1860	577
763	1862	575
764	1864	572
765	1867	570
766	1869	567
767	1871	565
768	1873	562
769	1875	560
770	1877	557
771	1879	555
772	1882	552
773	1884	550
774	1886	547
775	1888	545
776	1890	542
777	1892	540
778	1894	537
779	1896	535
780	1899	532
781	1901	530
782	1903	527
783	1905	525
784	1907	522
785	1910	520
786	1912	517
787	1914	514
788	1916	512
789	1918	510
790	1920	507
791	1922	504
792	1924	502
793	1926	499
794	1928	497
795	1930	494
796	1933	492
797	1935	489
798	1937	487
799	1939	484
800	1941	482
801	1943	479
802	1945	477
803	1948	474
804	1949	472
805	1952	469
806	1954	467
807	1956	464
808	1958	462
809	1960	459
810	1962	457
811	1965	454
812	1967	452
813	1969	450
814	1971	447
815	1973	445
816	1975	442
817	1977	439
818	1979	437
819	1981	434
820	1983	432
821	1985	429
822	1987	427
823	1989	424
824	1991	422
825	1993	419
826	1995	417
827	1997	414
828	1999	412
829	2001	409
830	2003	407
831	2005	405
832	2008	402
833	2010	400
834	2012	397
835	2014	395
836	2016	392
837	2018	390
838	2021	387
839	2023	385
840	2025	382
841	2027	380
842	2029	378
843	2031	375
844	2034	373
845	2036	370
846	2038	368
847	2040	365
848	2042	363
849	2044	360
850	2046	358
851	2048	355
